name,address,place_in_rating,average_rating,curl
Big Wine Freaks,"ул. Инструментальная, 3, Санкт-Петербург 197022 Россия",0.0,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8004693-Reviews-Big_Wine_Freaks-St_Petersburg_Northwestern_District.html
Tangiers Lounge,"улица Гастелло, 22Б, Санкт-Петербург 196135 Россия",0.0,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d14051748-Reviews-Tangiers_Lounge-St_Petersburg_Northwestern_District.html
The Playground,"Ломоносова,1, Санкт-Петербург 191023 Россия",0.23742454728370221,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d10392889-Reviews-The_Playground-St_Petersburg_Northwestern_District.html
Санни Джорджиа,"ул. Туристская, 22, Санкт-Петербург 197082 Россия",0.3988183161004431,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8376965-Reviews-Sunny_Georgia-St_Petersburg_Northwestern_District.html
Pub Black Beer,"пр. Стачек, 55, Санкт-Петербург 198096 Россия",0.3484375,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7605715-Reviews-Pub_Black_Beer-St_Petersburg_Northwestern_District.html
Бир Хаус,"ул. Марата, 2, Санкт-Петербург Россия",0.3263473053892216,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d10053677-Reviews-Beer_House-St_Petersburg_Northwestern_District.html
HI SO TERRACE,"Voznesenskiy Ave., 6, Санкт-Петербург 190000 Россия",0.0,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d14803068-Reviews-HI_SO_TERRACE-St_Petersburg_Northwestern_District.html
Пирс 8/4,"Советская 8-я, 4, Санкт-Петербург 191036 Россия",0.0,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8348724-Reviews-Pirs-St_Petersburg_Northwestern_District.html
Вместе,"Ленинский пр-т, 119, Санкт-Петербург 198207 Россия",0.4815361890694239,"3,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8542090-Reviews-Vmeste-St_Petersburg_Northwestern_District.html
Хука Плейс,"Полтавская, 8, Санкт-Петербург 191024 Россия",0.4844903988183161,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8346807-Reviews-Hookah_Place-St_Petersburg_Northwestern_District.html
Дискавери Бар-ресторан,"ул. Большая Пушкарская, 30, Санкт-Петербург 197198 Россия",0.0,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d10427803-Reviews-Discovery-St_Petersburg_Northwestern_District.html
Коркули,"Гофмейстерская, 2, Петергоф, Санкт-Петербург 198510 Россия",0.5,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g1207894-d6182182-Reviews-Korkuli-Peterhof_Petrodvortsovy_District_St_Petersburg_Northwestern_District.html
